Name,Java code,nb lines,code size,class size,class files
voidious.Dookious_1.452.jar,Yes,4731,19471,138945,61
joe.ADinosaur_1.0.jar,Yes,102,547,3399,1
barontrozo.BaronTrozo_1.7.2.jar,No,0,18063,84536,21
rdt.AgentSmith.AgentSmith_0.1.jar,Yes,3928,11964,115872,55
gh.mini.GrubbmOgre_0.3.jar,Yes,378,1308,7082,3
oog.Caligula_1.0.jar,No,0,249,2121,1
voidious.Diamond_1.41392.jar,Yes,7061,31660,184421,47
a.FreyaOS_1.0.jar,Yes,126,330,2684,1
jk.mega.DrussGT_2.7.18.jar,Yes,7978,54130,137345,31
eem.EvBotNG_v11.9.jar,Yes,11146,51366,282075,82
voidious.Diamond_1.6.5.jar,Yes,9529,41643,271691,76
vic.Locke_0.7.5.5.jar,Yes,1822,7853,38868,13
agrach.MicroDalek_1.0.jar,No,0,728,3334,1
McS.Spanky_test_0.1a.jar,Yes,88,214,1922,1
exauge.LemonDrop_1.3.117.jar,No,0,512,3612,1
cw.megas.Blade_0.4.jar,Yes,362,2531,11050,2
jeremyreeder.collective.Prophet_5.jar,Yes,902,5339,35614,10
simonton.nano.WeekendObsession_Melee_1.0.jar,Yes,197,248,2927,1
jk.melee.Neuromancer_6.1.jar,Yes,3804,23422,93111,30
jk.mega.DrussGT_2.9.0.jar,Yes,7485,55700,148022,41
dcs.PM.Eater_of_Worlds_PM_1.2.jar,No,0,2543,13253,3
jk.mega.DrussGT_1.2.2.jar,Yes,4018,28957,82758,24
voidious.Diamond_1.5.14.jar,Yes,7862,32748,197900,53
abc.Shadow_3.82r.jar,No,0,28646,83739,32
tw.Exterminator_1.0.jar,No,0,2862,15646,3
suh.nano.StopAndGoL_1.01.jar,Yes,43,186,1873,1
voidious.Lukious_1.32.jar,Yes,6340,25497,182843,53
fromHell.C4H10O_1.4.jar,Yes,125,702,5136,1
suh.nano.Type02_1.00.jar,Yes,33,128,1518,1
et.Predator_1.8.jar,No,0,11756,55227,22
ar.horizon.Horizon_1.1.2.jar,Yes,2634,9374,89499,32
jk.mega.DrussGT_1.3.8fast.jar,Yes,4292,31466,103247,26
barontrozo.BaronTrozo_1.5.4.5.jar,No,0,14015,72874,21
rsalesc.mega.Knight_0.6.20.jar,No,0,47042,252142,211
pa3k.Viper_0.20.jar,No,0,12353,71673,20
pez.rumble.CassiusClay_2rho.02ne.jar,Yes,2299,11998,85596,28
dsx724.VSAB_EP3_ATR_1.1.jar,Yes,682,4317,17609,3
divineomega.DivineBot_1.9.4.1.jar,No,0,15793,90286,25
divineomega.DivineBot_1.4.jar,No,0,4571,25123,4
jk.mega.DrussGT_0.7.15.jar,Yes,2818,14494,66200,19
lazarecki.mega.PinkerStinker_0.6.jar,No,0,11493,120113,44
eem.EvBot_v4.6.1.jar,No,0,34205,166706,38
bvh.two.Valkiries_0.44t.jar,No,0,1498,8520,4
rz.HOFSwarm_1.1.jar,No,0,744,5011,2
conscience.Bulldozer_1.0a.jar,No,0,217,1613,1
matt.UnderDark4_0.4.00.jar,Yes,290,1774,9386,3
eem.EvBotNG_v7.9.jar,Yes,9644,43085,244905,76
cjm.chalk.Chalk_2.5.Na.jar,Yes,1542,8579,39654,12
gf.Centaur.Centaur_0.6.jar,No,0,15549,126486,47
voidious.Diamond_1.6.6.jar,Yes,9282,40278,260305,72
ancientpyro.megas.knnbot.KnnBot_1.2.jar,No,0,10767,74463,26
sheldor.micro.EpeeistMicro_1.0.jar,Yes,215,748,5262,2
ne.Chimera_1.2.jar,Yes,1835,12571,40004,12
maye.SlashBot_1.0.jar,Yes,69,94,1286,1
dsekercioglu.WhiteFang_1.1.4.jar,No,0,14393,83443,30
ags.Midboss_1e.jar,No,0,25178,199165,87
hp.Athena_0.1.jar,No,0,2121,13625,3
lxx.Tomcat_3.55.jar,No,0,44537,405381,168
spinnercat.Kitten_1.5.jar,No,0,246,2352,1
xandercat.Rowdy_1.2.1.jar,No,0,29442,233746,79
sample.Tracker_1.0.jar,Yes,156,578,2880,1
eem.EvBot_v4.6.11.jar,No,0,35496,170035,36
xander.cat.XanderCat_11.11.jar,Yes,14465,51330,464951,175
wompi.TassieDevils_1.6.jar,Yes,695,1996,12900,7
voidious.mini.Komarious_1.484.jar,Yes,377,1490,9505,4
ua.kiiv.kosyak.robocode.tn1.Tn1_1.0.jar,No,0,245,1184,1
jgap.JGAP12584_1.0.jar,Yes,122,442,3933,1
DemonicRage.justin.DemonicRage_1.9.jar,No,0,13049,75588,31
barontrozo.BaronTrozo_1.3.jar,No,0,9031,49387,16
barontrozo.BaronTrozo_1.4.1.jar,No,0,13212,68973,20
voidious.Diamond_1.473.jar,Yes,8227,37768,218848,59
mym.EdgeStalker_1.0.jar,No,0,715,5463,4
wompi.Kowari_1.3.jar,No,0,248,2400,1
wompi.Wallaby_4.3.jar,Yes,188,749,5312,2
zyx.mega.YersiniaPestis_1.5.0.jar,Yes,3760,20355,128437,48
jk.mega.DrussGT_0.7.24.jar,Yes,2857,14650,66727,19
chase.na.Seraphim_0.052c.jar,No,0,10813,58351,15
cs.s2.Seraphim_2.2.1.jar,Yes,2715,14436,74071,18
aaa.ScaledBot_0.01d.jar,No,0,12939,118379,61
dsekercioglu.WhiteFang_1.2.1.jar,No,0,14730,85281,30
abc.Shadow_3.81d.jar,No,0,30874,86510,32
rsalesc.melee.Monk_0.2.3.jar,No,0,29905,153730,137
eem.EvBot_v0.9.jar,Yes,694,4472,13914,1
abc.Shadow_3.72.jar,No,0,29378,81112,31
cs.s2.Seraphim_2.2.0.jar,Yes,2812,15152,75670,18
ags.muse.GlacialHawk_1.4.jar,No,0,12204,90489,37
voidious.Diamond_1.5.24.jar,Yes,8272,34589,206441,55
voidious.Diamond_1.7.31.jar,Yes,10918,49044,399318,109
zzx.Gron_1.15.jar,Yes,42,246,1729,1
techdude.Carruthers_1.2.5.1.jar,Yes,2853,15359,136182,69
whitesquare.robots.SkynetAdvanced_1.1.jar,No,0,2173,12061,4
doka.Shinigami_2.0.jar,Yes,326,1315,8481,2
wompi.Wallaby_3.4.jar,Yes,559,742,5246,2
maribo.IotaCT_1.0.jar,Yes,142,739,3710,1
spinnercat.CopyKat_1.2.3.jar,No,0,249,2875,1
omens.CannonfodderMicro_1.4.jar,No,0,714,4870,1
jk.micro.Toorkild_0.1.8.jar,Yes,201,723,3586,1
voidious.micro.Jen_1.092.jar,Yes,187,746,4658,2
barontrozo.BaronTrozo_1.6.1.jar,No,0,14162,74148,21
rsalesc.roborio.Roborio_1.1.4b.jar,No,0,29839,149310,115
ar.horizon.Horizon_1.1.2b.jar,Yes,2635,9390,89712,32
lxx.Tomcat_3.30.jar,No,0,35299,333244,139
jk.mega.DrussGT_1.8.14.jar,Yes,4989,33336,111537,27
rdt.AgentSmith.AgentSmith_0.15.jar,No,0,13007,129307,61
josago.Jorgito_0.14.jar,No,0,3884,19743,5
nat.atomic.AtomicMini_0.2.jar,Yes,216,1463,8972,2
aaa.SimpleBot_0.023.jar,No,0,7124,57485,16
jk.mini.Cunobelin_0.1.4.jar,Yes,411,1497,7653,2
stf.PanzerGeneral_0.1.jar,No,0,1118,7245,1
gh.micro.GrubbmThree_0.9b.jar,Yes,151,702,4466,1
voidious.Dookious_1.56.jar,Yes,5622,23845,174943,84
wompi.Wallaby_2.7.jar,Yes,420,738,4897,2
xander.cat.Spitfire_1.3.1.jar,Yes,9387,31730,278158,101
rsalesc.melee.Medina_0.2.jar,No,0,38113,204237,180
oog.MagicD2_2.3.jar,Yes,67,247,1991,1
aw.Gilgalad_1.85.jar,Yes,12813,52313,243469,47
mn.CombatTeam_3.19.1.jar,No,0,27938,90197,0
dsekercioglu.Oculus_2.0.1.jar,No,0,8597,65027,26
barontrozo.BaronTrozo_1.7.6.jar,No,0,18980,89871,22
spinnercat.haiku.Refrigerator_1.0.jar,Yes,34,123,1268,1
jk.mega.DrussGT_2.8.2.jar,Yes,8068,54607,135322,34
barontrozo.BaronTrozo_1.6.2.jar,No,0,14274,74674,21
infovk.s_schwarzm16.silverbird_1.0.jar,No,0,2744,13235,2
voidious.Dookious_1.09.jar,Yes,7468,33224,162548,28
eem.EvBotNG_v11.9a.jar,Yes,11164,51436,282409,82
mn.CombatTeam_3.12.0.jar,No,0,24070,79463,0
ara.Shera_0.88.jar,No,0,13777,54393,11
voidious.Diamond_1.11.jar,Yes,4822,21473,121185,28
voidious.Diamond_1.6.1.jar,Yes,8645,37035,227237,58
aaa.ScalarBot_0.012l35.jar,No,0,42513,337510,119
rsalesc.mega.Knight_0.6.19.jar,No,0,47087,252238,211
ags.Glacier_0.2.7.jar,Yes,3236,16012,106677,38
pa3k.Viper_3.33.jar,No,0,27472,174311,61
lxx.Tomcat_3.14.153.jar,No,0,35194,338391,137
positive.Portia_1.21a.jar,No,0,40923,113386,83
japs.Sjonniebot_0.9.1.jar,No,0,1266,7164,2
ar.horizon.Horizon_1.1.1a.jar,Yes,2571,9046,78574,28
xander.cat.XanderCat_10.9.1.jar,Yes,13666,48350,443685,171
rnatest.MendelBot_1.0.jar,Yes,29,215,1210,1
dsekercioglu.neural.Oculus_1.2.jar,No,0,10466,73887,24
jk.mega.DrussGT_0.4.4.jar,Yes,1728,8162,28874,8
sheldor.micro.EpeeistMicro_2.0.0.jar,Yes,317,746,5818,2
jk.sheldor.nano.Yatagan_1.1.3.jar,Yes,172,249,2686,1
voidious.Diamond_1.283.jar,Yes,5807,25543,141258,30
ntc.Lasers.Lasers_0.9.jar,Yes,532,4021,17412,2
kawigi.nano.FunkyChicken_1.1.jar,Yes,56,245,2167,1
supersample.SuperCorners_1.0.jar,Yes,353,1593,5721,1
voidious.mini.Komarious_1.482.jar,Yes,377,1491,9506,4
spinnercat.Kitten_1.3.jar,Yes,38,247,2183,1
dsekercioglu.Tomahawk_5.04x.jar,No,0,12458,59995,19
jk.precise.EnergyDome_1.1.jar,No,0,2372,8129,3
eem.EvBotNG_v0.3.jar,No,0,16845,111544,46
SuperSample.SuperCrazy_1.0.jar,Yes,135,833,3803,1
voidious.mini.Komarious_1.542.jar,Yes,386,1496,9458,4
tjk.deBroglie_0.66.jar,Yes,1972,8228,41493,11
gh.mini.Griezel_0.1.jar,Yes,307,1484,7050,2
voidious.mini.BrokenSword_1.081.jar,Yes,300,1415,8552,3
zignd.ZigIndexOutOfRange_1.0.jar,No,0,167,1721,1
gh.GresSuffurd_0.3.14.jar,Yes,2391,12397,49524,5
pa.Improved_1.0.jar,Yes,156,714,4107,1
lessonz.robocode.Oz_0.0.1.jar,No,0,4586,29830,23
wcsv.PowerHouse.PowerHouse_1.7e3.jar,No,0,9066,55127,17
suh.nano.AntiGravityL_1.01.jar,Yes,36,202,1781,1
voidious.mini.Komarious_1.70.jar,Yes,347,1484,7962,2
cjm.chalk.Chalk_2.6.Be.jar,Yes,1938,10550,49841,16
justin.DemonicRage_3.18.jar,No,0,26581,158765,48
aaa.ScalarBot_0.012m8.8.jar,No,0,45297,345383,120
divineomega.DivineBot_1.5.2.jar,No,0,6541,37024,11
wompi.Wallaby_2.0.jar,Yes,338,733,4586,2
pulsar.PulsarMax_0.5.20.jar,No,0,20022,127414,46
voidious.Dookious_1.59.jar,Yes,5599,23938,175255,84
tjk.deBroglie_rev0098.jar,Yes,8540,31426,167648,43
suh.mega.WaveSurferPG_1.04.jar,Yes,737,2844,32288,16
zch.Hirkan_0.11.jar,Yes,69,223,1849,1
sul.Bicephal_1.2.jar,Yes,80,246,2056,1
cf.OldMan.OldManXP_0.1.jar,No,0,2411,11609,2
alk.lap.LoudAndProud_2.23.jar,No,0,26242,224955,71
voidious.Diamond_1.7.39.jar,Yes,10910,49062,398268,109
mb.Beast_0.3.jar,No,0,4055,38043,18
voidious.Diamond_1.174.jar,Yes,5233,22874,127925,28
jk.mega.DrussGT_1.3.7.jar,Yes,4273,31358,103065,26
justin.DemonicRage_3.29.jar,No,0,29418,169901,49
amk.ChumbaWumba_0.3.jar,No,0,4167,32039,14
ags.muse.GlacialHawk_1.2.jar,No,0,11618,84701,34
tvv.nano.Polaris_1.1.jar,No,0,223,1917,2
jk.sheldor.nano.Yatagan_1.1.5.jar,Yes,183,248,2811,1
fromHell.C22H30N2O2S_1.1.jar,Yes,43,191,2071,1
vuen.Bakery_2.51.jar,Yes,1594,13808,73635,25
fromHell.CHCl3_0.2.4.jar,No,0,1909,18994,9
divineomega.DivineBot_1.7.0.1.jar,No,0,11005,62280,18
aaa.Carbon_0.01.jar,No,0,22631,185446,66
ar.horizon.Horizon_1.2.1.jar,Yes,2774,10019,96344,35
justin.DemonicRage_3.19.jar,No,0,26575,158669,48
jk.mega.DrussGT_2.7.19.jar,Yes,7978,54114,137331,31
nat.Samekh_0.2.jar,No,0,14643,84678,25
lxx.Tomcat_3.34.jar,No,0,39779,363255,155
cx.micro.Smoke_0.95.jar,Yes,148,748,5102,2
voidious.Diamond_1.7.5.jar,Yes,10306,47753,364543,101
justin.DemonicRage_DR3.12.jar,No,0,24811,149893,46
mld.jdc.nano.LittleBlackBook_1.0.jar,No,0,245,222258,1
cb.mega.Firestarter_1.5.2.jar,No,0,13285,42327,21
davidalves.PhoenixOS_1.1.jar,Yes,2301,10682,70782,27
josago.Jorgito_0.10.jar,No,0,1810,10004,3
voidious.mini.Komarious_1.51.jar,Yes,382,1492,9593,4
cs.s2.Seraphim_2.1.0.jar,Yes,2587,13774,71649,18
cli.WasteOfAmmo_1.0.jar,No,0,209,1558,1
conscience.Electron_1.1a.jar,No,0,237,1874,1
justin.DemonicRage_3.3g.jar,No,0,33261,185685,53
aw.Gilgalad_1.99.2.jar,Yes,13154,53886,247120,48
robar.nano.Pugio_1.47.jar,Yes,119,249,2439,1
spinnercat.Robovirus_2.718.jar,No,0,6143,40906,16
voidious.Diamond_1.7.28.jar,Yes,10891,48751,395481,108
dsekercioglu.WhiteFang_1.0.1.jar,No,0,3385,17148,7
jk.melee.Neuromancer_3.8.1.jar,Yes,3208,18374,65202,24
dummy.BlindDroid_1.0.jar,Yes,115,484,2783,1
jk.mega.DrussGT_1.4.1.jar,Yes,4392,32204,105562,26
voidious.simplevg.Dookious_0.611sVG.jar,Yes,6979,27849,121136,23
voidious.Diamond_1.5.15.jar,Yes,7862,32748,197900,53
abc.Shadow_3.74e.jar,No,0,34110,90806,34
nz.jdc.nano.PralDeGuerre_1.0.jar,No,0,249,3240,1
voidious.Diamond_1.7.36.jar,Yes,10910,49075,400148,110
eem.EvBot_v4.3.7.jar,No,0,19716,98929,26
jk.Waylander_0.3.1.jar,Yes,204,731,3632,1
bvh.jmd.Jormungand_0.35.jar,No,0,7863,26846,7
wiki.Wolverine_2.1.jar,Yes,1551,9040,33585,6
aaa.ScalarBot_0.012n2.9.14b.jar,No,0,66375,522544,191
pa3k.Viper_3.37.jar,No,0,28161,176020,61
exauge.Leopard_1.0.011.jar,No,0,249,2401,1
challenge.PatternBot_1.0.jar,No,0,570,3006,1
voidious.mini.Komarious_1.734.jar,Yes,349,1492,8051,2
eem.EvBot_v0.4.jar,Yes,550,3749,12040,1
usa.nano.Nemo_2.0.jar,Yes,112,249,1981,1
sheldor.micro.EpeeistMicro_1.1.jar,Yes,211,742,5243,2
stranger.nano.TestBot_1.0.jar,No,0,144,1651,1
cx.Lacrimas_1.36.jar,Yes,192,7610,26826,7
pa3k.Viper_1.03.jar,No,0,12952,76200,22
nat.nano.OcnirpSNG_1.1_3.jar,Yes,141,248,3176,1
jk.mega.DrussGT_0.2.4.jar,Yes,1044,4852,19103,4
gh.GresSuffurd_0.2.13.jar,Yes,1888,8339,37770,5
lxx.Tomcat_3.46.jar,No,0,42050,381009,163
dft.Immortal_1.40.jar,Yes,1437,8194,46582,16
apvteam.MambaTeam_0.7.5.jar,No,0,4678,21391,6
voidious.Diamond_1.181.jar,Yes,5235,22932,128111,28
voidious.Diamond_1.17.jar,Yes,5236,23369,129486,28
jk.mega.DrussGT_0.7.4.jar,Yes,2803,14445,67291,19
wiki.mako.MakoHT_1.2.2.1.jar,No,0,3213,16338,3
synapse.Geomancy_14.jar,No,0,11721,68233,22
jk.mega.DrussGT_0.3.4PM.jar,Yes,1351,6138,20241,5
dsekercioglu.ColdBreath_1.7.jar,No,0,7603,47705,20
voidious.Dookious_1.442.jar,Yes,5122,21724,154700,68
jk.mega.DrussGT_1.8.4.jar,Yes,4954,33067,110688,27
jk.mega.DrussGT_3.0.1.jar,Yes,7356,55967,148004,39
pez.mini.Pugilist_2.5.1b.jar,Yes,315,1484,11080,3
yagami.Tidus_0.21.jar,No,0,736,5863,2
pedersen.Hubris_beta.7.jar,No,0,39992,458309,185
wompi.Wallaby_3.2.jar,Yes,516,749,5274,2
cw.megas.Polar_3.1.jar,Yes,539,3878,16798,2
baal.N_1.25.jar,Yes,37,219,1859,1
wompi.Kowari_1.2.jar,No,0,242,2451,1
voidious.Diamond_1.5.34b.jar,No,0,36169,220143,55
techdude.kombat.FlamingKombat_1.5.jar,No,0,1536,8311,2
jdw.Hurricane_1.1.jar,No,0,9392,55741,24
m3thos.Eva02_0.7.1.jar,Yes,678,2591,17758,3
squidM.SquidmanNano_1.0.jar,Yes,67,213,1901,1
jk.mega.DrussGT_1.0.5c.jar,Yes,2917,16460,65827,17
elloco.Kabuto_0.2r.jar,No,0,2577,8639,1
rsalesc.melee.Monk_0.2.2.jar,No,0,28135,145548,133
jk.mega.DrussGT_1.6.9.jar,Yes,4872,32554,109276,27
jk.mega.DrussGT_1.5.0.jar,Yes,4735,31804,111311,30
voidious.Shaakious_0.13.jar,Yes,6559,26200,129226,28
jk.mega.DrussGT_3.1.3.jar,Yes,7744,56599,152656,41
eem.EvBotNG_v1.0.jar,No,0,20999,135506,50
voidious.Diamond_1.6.4.jar,Yes,9283,40277,260299,72
jk.mega.DrussGT_1.3.17.jar,Yes,4623,31591,105601,27
barontrozo.BaronTrozo_1.1.jar,No,0,3536,18428,5
voidious.mini.Komarious_1.0.jar,Yes,349,1496,10793,3
cs.Grudge_1.0.jar,No,0,316,3445,1
bh.PencilRain_0.01.jar,No,0,20057,162719,48
serenity.moonlightBat_1.17.jar,No,0,5801,13230,5
whind.Strength_0.6.2.jar,Yes,1925,11885,46497,10
nat.Samekh_0.4.jar,Yes,5460,38989,154881,41
voidious.Dookious_0.75.jar,Yes,7148,27033,135365,28
jk.mega.DrussGT_2.3.7.jar,Yes,6064,40568,131366,29
voidious.Diamond_1.8.10.jar,Yes,11296,48491,403438,107
jk.mega.Stormrider_0.1.5.jar,Yes,2739,11500,63368,18
rus.vv.Snezhok_1.1.jar,Yes,226,1487,5321,1
jcz.Linio_2.0.H.jar,No,0,35318,113934,24
SFS.SamsSecondRobot_1.0.jar,Yes,63,93,1342,1
eem.EvBot_v4.6.9.jar,No,0,35437,169567,36
voidious.Dookious_1.573.jar,Yes,5599,23938,175246,84
blir.mini.oops.Splooshlu_2.0.jar,Yes,263,1290,7234,1
rsalesc.melee.Medina_0.3.jar,No,0,45584,245033,216
pez.rumble.CassiusClay_2rho.02mi.jar,Yes,2241,12137,85297,28
spartancompany.Spartan2_1.0.jar,No,0,193,1329,1
Polkwane.Intensive_1.0.jar,No,0,850,8985,4
aaa.ScalarBot_0.012n2.2.jar,No,0,57045,457971,176
ags.Midboss_1k.jar,No,0,25570,203953,89
lxx.Tomcat_3.32.jar,No,0,35711,336568,140
fwb.Nine_1.0.1.jar,No,0,10065,52901,23
jk.precise.Wintermute_0.1.jar,Yes,2652,14709,77707,27
bzdp.Pansy_2.0.jar,No,0,250,1895,1
ratosh.Wesco_1.4.jar,Yes,22,235,1741,1
voidious.mini.Komarious_1.69.jar,Yes,346,1462,7918,2
rsalesc.mega.Knight_0.6.21.jar,No,0,47024,252124,211
robar.nano.THe_DaRK_BRoTHeR_0.2.jar,No,0,247,2127,1
abc.Shadow_3.81f.jar,No,0,31073,86691,32
pa3k.Quark_1.01.jar,No,0,27134,173408,61
az.Ololobot_0.2.2.jar,No,0,7282,28610,9
synapse.Geomancy_11.jar,No,0,12435,69468,22
voidious.micro.Jen_1.083.jar,Yes,185,735,4611,2
jk.mega.DrussGT_1.6.17.jar,Yes,4937,33012,110671,27
hvilela.HVilela_0.9.jar,No,0,2070,14208,18
abc.Shadow_3.77h.jar,No,0,30084,86163,33
cli.Dancer_1.0.jar,No,0,3910,13166,3
cs.Mint_0.3.jar,No,0,12843,52926,27
qwaker00.Gandhi_1.0.jar,Yes,318,1986,9315,2
voidious.Diamond_1.5.26.jar,Yes,8250,34540,206364,55
darkcanuck.Pris_0.36c.jar,No,0,26396,93536,49
grc.svman4.Morfeas_1.6.jar,Yes,2196,7307,60735,24
jk.sheldor.nano.Yatagan_1.2.3.jar,Yes,288,249,18651,1
DemonicRage.justin.DemonicRage_1.91.jar,No,0,13045,75584,31
darkcanuck.Gaff_1.28.jar,No,0,22924,87380,48
exauge.LemonDrop_1.4.104.jar,No,0,733,4292,1
satan.R0_0.13.jar,No,0,249,2017,1
qwaker00.Gandhi_1.2mini.jar,Yes,229,1465,6086,1
Polkwane.PTeam_1.0.jar,No,0,1681,9716,2
divineomega.DivineBot_1.4.7.jar,No,0,6574,34406,6
stelo.Mirror_1.1.jar,Yes,691,4735,21405,5
sheldor.nano.PointInLine_1.0.jar,Yes,104,245,2822,2
voidious.Dookious_0.98.jar,Yes,7126,30979,154998,28
wompi.Wallaby_3.5.jar,Yes,590,742,5308,2
jk.micro.Cotillion_0.8.jar,Yes,234,729,3443,1
jk.mega.DrussGT_2.9.1.jar,Yes,7608,56261,148919,41
voidious.Diamond_1.114.jar,Yes,4823,21479,121207,28
lxx.Tomcat_3.22.jar,No,0,35178,330654,139
oog.Acraepheus_2.2.2.jar,Yes,284,1430,5759,1
eem.EvBotNG_v4.1.jar,Yes,7589,32639,198947,62
dmh.robocode.robot.PinkPanther_1.0.jar,No,0,1490,14490,7
eem.EvBot_v4.6.6.jar,No,0,34012,164891,36
mld.Moebius_2.9.3.jar,Yes,327,249,3506,1
cb.mega.Firestarter_1.13c.jar,No,0,17067,49906,24
dl.BetterWalls_1.0.jar,Yes,119,604,3579,1
jk.melee.Neuromancer_5.6.jar,Yes,3625,22179,88805,29
pez.rumble.CassiusClay_2rho.02kd.jar,Yes,2181,11272,81793,27
cre.Karolos_0.32.jar,No,0,36906,141039,58
jk.mega.DrussGT_2.5.8.jar,Yes,6631,40538,136764,31
mue.Ascendant_1.2.2.jar,No,0,20375,75999,31
mmb.Roskilde_0.2.jar,No,0,1223,8192,4
brainfade.melee.Genghis_0.36.jar,No,0,4690,26375,6
jk.melee.Neuromancer_2.2.jar,Yes,2988,17305,61075,23
rc.RCBot_2.0.jar,No,0,2113,10165,2
da.NewBGank_1.4.jar,No,0,4634,12988,4
uccc.MilkyWay_1.01.jar,No,0,3853,21739,11
ntc.Cannon_0.94.jar,No,0,749,5538,2
abc.Shadow_3.81e.jar,No,0,30137,85749,32
cb.mega.Firestarter_1.5.5.jar,No,0,12779,40241,21
eem.EvBot_v0.8.jar,Yes,694,4463,13898,1
tvv.micro.Antares_1.1.jar,No,0,479,3209,1
voidious.perceptual.RetroGirl_1.0.0.jar,Yes,1787,8363,58215,16
grc.svman4.morfeas_1.4.jar,No,0,6944,55261,21
jk.Waylander_0.1.9.jar,Yes,167,747,3606,1
wiki.BasicGFSurfer_1.0.jar,Yes,435,1927,13146,4
darkcanuck.Gaff_1.04.jar,No,0,20831,77096,42
arthord.KostyaTszyu_Beta2.jar,No,0,741,5083,2
sul.Lunar_1.0.jar,Yes,52,249,1903,1
quietus.NarrowRadar_0.1.jar,No,0,361,2290,1
ntc.Cannon_1.0.jar,No,0,749,5329,2
jk.mega.DrussGT_2.7.26.jar,Yes,7733,52384,135000,31
spinnercat.haiku.Refrigerator_1.1.jar,No,0,126,1261,1
zignd.ZigIndexOutOfRange_1.1.jar,No,0,210,1773,1
stelo.Lifestealer_1.0.jar,Yes,283,996,5204,1
aw.Gilgalad_1.99.jar,Yes,12836,53157,241132,46
voidious.Diamond_1.43.jar,Yes,7802,35466,208788,58
josago.Jorgito_0.15.jar,No,0,5560,28050,9
nat.micro.NP_1.2.jar,Yes,213,745,5364,2
mladjo.Grrrrr_0.9.jar,No,0,1022,7294,2
voidious.Diamond_1.252.jar,Yes,5517,24385,133468,28
aaa.ScalarBot_0.012l29.jar,No,0,41512,318971,114
voidious.Diamond_1.8.16.jar,Yes,11398,49303,407373,107
aw.Gilgalad_1.82.jar,Yes,11323,46123,222616,44
Krabb.sliNk.Garm_0.9u.jar,No,0,225858,465737,62
franzor.Lizt_1.3.1.jar,Yes,644,3805,17331,9
dmh.robocode.robot.YellowBird_0.11.jar,No,0,226,1939,1
wompi.Wallaby_s2.3.jar,Yes,386,726,4912,2
morbid.MorbidPriest_1.0.jar,No,0,28612,206309,84
voidious.Diamond_1.242.jar,Yes,5515,24255,133180,28
DBall.Anarchy_0.1.jar,No,0,166,1944,1
voidious.mini.Komarious_1.81.jar,Yes,349,1498,8131,2
suh.Probot06_1.00.jar,Yes,57,385,2914,1
voidious.Diamond_1.284.jar,Yes,5822,25667,141573,30
robin.SCALPWHC_1.1.jar,Yes,62,222,1568,1
chase.g.Genesis_Demo3.jar,No,0,4406,39015,20
jw.Booring_1.11.jar,No,0,10652,56129,13
djc.Aardvark_0.3.6.jar,Yes,4741,18785,87360,36
hs.SimpleHBot_1.1.jar,No,0,401,2396,1
dsekercioglu.Hammer_8.6.jar,No,0,246,2291,1
gh.GresSuffurd_0.1.9.jar,Yes,1557,6953,34026,5
pac.abc_2.0.jar,No,0,1147,6678,3
vStar.RAFzilla_2.0.jar,No,0,5455,22946,8
ags.rougedc.RougeDC_balance.jar,Yes,4399,18372,158241,59
oog.micro.SavantMicro_0.1.jar,No,0,706,4649,2
supersample.SuperTracker_1.0.jar,Yes,65,341,2416,1
ags.muse.GlacialHawk_1.5.jar,No,0,11736,84938,34
voidious.Diamond_1.02.jar,Yes,4577,20150,116265,28
sheldor.micro.EpeeistMicro_1.8.1.jar,Yes,220,743,5557,2
mn.CombatTeam_3.23.0.jar,No,0,27978,90675,0
av.RobAtHome_1.2.jar,No,0,749,5630,2
voidious.Diamond_1.7.30.jar,Yes,10922,49068,399793,109
abc.Shadow_3.83b.jar,No,0,30336,87096,32
satan.R0_0.14.jar,No,0,241,2050,1
stelo.IntrinsicVolatility_1.4.jar,Yes,1230,7584,36332,8
jk.mega.DrussGT_0.4.0Vyper.jar,Yes,1630,8068,25406,6
voidious.micro.Jen_1.05.jar,Yes,194,748,4586,2
ustimaw.NightmareTeam_2.1.jar,No,0,4788,28969,10
apv.ScruchiPu_1.0.jar,Yes,183,11911,56375,12
doka.Shinigami_1.1.jar,Yes,211,836,5326,1
sp.Minis.GeneBotUpgrade_1.1.jar,No,0,668,5565,2
FatalFlaw.FatalFlaw_1.0.jar,No,0,2350,9684,3
whind.StrengthBee_0.6.4.jar,Yes,3191,18845,88782,20
apc.LeeroyJenkins2_1.0.jar,No,0,3723,22640,4
lxx.Neutrino_0.0.jar,No,0,75743,1472988,569
tripphippy.Alice_1.1.jar,No,0,7313,34233,8
jk.mega.DrussGT_1.3.9.jar,Yes,4273,31353,103069,26
mld.LittleBlackBook_1.62.jar,Yes,2062,247,113434,1
voidious.mini.Komarious_1.84.jar,Yes,350,1492,8342,2
abc.Shadow_3.81b.jar,No,0,30246,85870,32
simonton.mega.SniperFrog_1.0.jar,No,0,19745,153834,47
nat.BlackHole_0.1.01.jar,Yes,2040,8582,60850,21
wompi.Wallaby_2.8.jar,Yes,461,744,5017,2
jk.mega.DrussGT_1.9.1.jar,Yes,5174,34020,115834,30
jk.mega.DrussGT_3.1.4.jar,Yes,7385,56895,170827,43
ry.VirtualGunExperiment_1.2.0.jar,No,0,5556,42797,16
